"$r [deg]","Time [us]","InducedVoltage(int) [mV]"
2.55,325,56.6523110986147
2.55,337.5,58.1493061741747
2.55,350,58.2173979208181
2.55,362.5,56.8546260506347
2.55,375,54.0943029055032
2.55,387.5,50.0041859242102
2.55,400,44.6848031827069
2.55,412.5,38.2669739471553
2.55,425,30.9085839128557
2.55,437.5,22.7906945830575
2.55,450,14.1130831543574
2.55,462.5,5.08932065890028
2.55,475,-4.05848760133377
2.55,487.5,-13.1051729565913
2.55,500,-21.828049331151
2.7,0,185.535
2.7,12.5,115.985287355819
2.7,25,46.4355257951475
2.7,37.5,3.22281252815293
2.7,50,-23.9348185472709
2.7,62.5,-41.0249275353585
2.7,75,-51.5335378261524
2.7,87.5,-57.4962045771573
2.7,100,-60.1141901749366
2.7,112.5,-60.1155796233717
2.7,125,-57.966560346247
2.7,137.5,-53.9944802138261
2.7,150,-48.458796225999
2.7,162.5,-41.5911084116366
2.7,175,-33.6167476659785
2.7,187.5,-24.7652790636942
2.7,200,-15.2742958602574
2.7,212.5,-5.38913148209134
2.7,225,4.63990333487436
2.7,237.5,14.5617517553782
2.7,250,24.1296518084594
2.7,262.5,33.1065391604813
2.7,275,41.2704857327551
2.7,287.5,48.4199284707376
2.7,300,54.3784926788434
2.7,312.5,58.9992515824799
2.7,325,62.1682947582334
2.7,337.5,63.807503126344
2.7,350,63.8764549226758
2.7,362.5,62.3734101864935
2.7,375,59.335347056911
2.7,387.5,54.8370473925128
2.7,400,48.9892529560442
2.7,412.5,41.9359368104037
2.7,425,33.850757759915
2.7,437.5,24.9327832924736
2.7,450,15.4015877098928
2.7,462.5,5.49184516492306
2.7,475,-4.55244879792118
2.7,487.5,-14.4839854284779
2.7,500,-24.0582323976822
2.85,0,179.656
2.85,12.5,116.956623937267
2.85,25,54.2570084711545
2.85,37.5,14.5516912241346
2.85,50,-11.1314191597718
2.85,62.5,-28.0333862051526
2.85,75,-39.2069314802511
2.85,87.5,-46.4269367445327
2.85,100,-50.7279596087269
2.85,112.5,-52.7216434586342
2.85,125,-52.7840285383473
2.85,137.5,-51.1657927004431
2.85,150,-48.0566734435014
2.85,162.5,-43.6225216801438
2.85,175,-38.0258928846925
2.85,187.5,-31.436646377314
2.85,200,-24.0364061051983
2.85,212.5,-16.0192123652862
2.85,225,-7.58978210004076
2.85,237.5,1.03972736403527
2.85,250,9.65386892354561
2.85,262.5,18.0385709429382
2.85,275,25.9860251284318
2.85,287.5,33.2995744813987
2.85,300,39.7984160405184
2.85,312.5,45.3219691501828
2.85,325,49.7337763712659
2.85,337.5,52.9248321013979
2.85,350,54.8162451244889
2.85,362.5,55.3611681989419
2.85,375,54.5459420942276
2.85,387.5,52.3904259220287
2.85,400,48.9475031139746
2.85,412.5,44.301776499012
2.85,425,38.5674817989939
2.85,437.5,31.8856728933205
2.85,450,24.4207475945315
2.85,462.5,16.3563966975763
2.85,475,7.89108119232671
2.85,487.5,-0.766856574533375
2.85,500,-9.40432303128974
3,0,188.098
3,12.5,123.906962702992
3,25,59.7155123326417
3,37.5,18.5164148001599
3,50,-8.5165896945331
3,62.5,-26.5894244182599
3,75,-38.763562662024
3,87.5,-46.8353609141557
3,100,-51.8603951016044
3,112.5,-54.4663847691654
3,125,-55.0399355634008
3,137.5,-53.8377539400476
3,150,-51.0524752594468
3,162.5,-46.8510721197883
3,175,-41.3965708141743
3,187.5,-34.8595107592255
3,200,-27.4230240565626
3,212.5,-19.2838952000532
3,225,-10.6510633512094
3,237.5,-1.74249219745049
3,250,7.21898216034139
3,262.5,16.01040344659
3,275,24.413740004446
3,287.5,32.2209818325791
3,300,39.239096641615
3,312.5,45.2946800691193
3,325,50.2381614600383
3,337.5,53.947446547118
3,350,56.3308975113552
3,362.5,57.3295724452181
3,375,56.9186650640714
3,387.5,55.1081076206122
3,400,51.942320214823
3,412.5,47.4991135959677
3,425,41.8877688440417
3,437.5,35.2463450368784
3,450,27.7382768843123
3,462.5,19.5483496364133
3,475,10.8781466680576
3,487.5,1.94108557764813
3,500,-7.04283839210173
3.15,0,216.904
3.15,12.5,146.254242034335
